"","CONTO","ANNO","MESE"
"1",6,2003,3
"2",5044,2003,4
"3",5108,2003,5
"4",5001,2003,6
"5",5191,2003,7
"6",5213,2003,8
"7",5187,2003,9
"8",5302,2003,10
"9",5031,2003,11
"10",5041,2003,12
"11",5027,2004,1
"12",4884,2004,2
"13",5410,2004,3
"14",5066,2004,4
"15",5133,2004,5
"16",4981,2004,6
"17",5234,2004,7
"18",5324,2004,8
"19",5263,2004,9
"20",5371,2004,10
"21",5472,2004,11
"22",5312,2004,12
"23",5251,2005,1
"24",5049,2005,2
"25",5735,2005,3
"26",5599,2005,4
"27",5663,2005,5
"28",5555,2005,6
"29",5135,2005,7
"30",4627,2005,8
"31",4610,2005,9
"32",4762,2005,10
"33",4725,2005,11
"34",4694,2005,12
"35",4564,2006,1
"36",4328,2006,2
"37",4783,2006,3
"38",4554,2006,4
"39",4673,2006,5
"40",4550,2006,6
"41",4719,2006,7
"42",4695,2006,8
"43",4619,2006,9
"44",4803,2006,10
"45",4817,2006,11
"46",4866,2006,12
"47",4807,2007,1
"48",4631,2007,2
"49",5172,2007,3
"50",5038,2007,4
"51",5217,2007,5
"52",4930,2007,6
"53",5227,2007,7
"54",5188,2007,8
"55",5018,2007,9
"56",5350,2007,10
"57",5170,2007,11
"58",4607,2007,12
"59",4806,2008,1
"60",4709,2008,2
"61",4991,2008,3
"62",4882,2008,4
"63",4600,2008,5
"64",4398,2008,6
"65",4662,2008,7
"66",4647,2008,8
"67",4515,2008,9
"68",4779,2008,10
"69",4450,2008,11
"70",4312,2008,12
"71",4286,2009,1
"72",4022,2009,2
"73",4543,2009,3
"74",4160,2009,4
"75",4293,2009,5
"76",4235,2009,6
"77",4472,2009,7
"78",4309,2009,8
"79",4262,2009,9
"80",4468,2009,10
"81",4312,2009,11
"82",4081,2009,12
"83",3933,2010,1
"84",3786,2010,2
"85",4326,2010,3
"86",4244,2010,4
"87",4340,2010,5
"88",4529,2010,6
"89",4462,2010,7
"90",4431,2010,8
"91",4361,2010,9
"92",4470,2010,10
"93",4322,2010,11
"94",4262,2010,12
"95",4210,2011,1
"96",3876,2011,2
"97",4436,2011,3
"98",4293,2011,4
"99",4453,2011,5
"100",4246,2011,6
"101",4433,2011,7
"102",4459,2011,8
"103",4470,2011,9
"104",4550,2011,10
"105",4425,2011,11
"106",4377,2011,12
"107",4279,2012,1
"108",4141,2012,2
"109",4307,2012,3
"110",4060,2012,4
"111",4091,2012,5
"112",3914,2012,6
"113",4101,2012,7
"114",4102,2012,8
"115",3912,2012,9
"116",4200,2012,10
"117",3750,2012,11
"118",3678,2012,12
"119",3715,2013,1
"120",3483,2013,2
"121",3909,2013,3
"122",3872,2013,4
"123",3928,2013,5
"124",3732,2013,6
"125",3965,2013,7
"126",3951,2013,8
"127",3854,2013,9
"128",4065,2013,10
"129",4054,2013,11
"130",3911,2013,12
"131",4051,2014,1
"132",3897,2014,2
"133",4239,2014,3
"134",4115,2014,4
"135",4146,2014,5
"136",4145,2014,6
"137",4381,2014,7
"138",4307,2014,8
"139",4191,2014,9
"140",4578,2014,10
"141",4261,2014,11
"142",4121,2014,12
"143",4120,2015,1
"144",3993,2015,2
"145",4647,2015,3
"146",4333,2015,4
"147",4514,2015,5
"148",4368,2015,6
"149",4695,2015,7
"150",4508,2015,8
"151",4544,2015,9
"152",4797,2015,10
"153",4704,2015,11
"154",4475,2015,12
"155",4414,2016,1
"156",4393,2016,2
"157",4696,2016,3
"158",4436,2016,4
"159",4580,2016,5
"160",4407,2016,6
"161",4571,2016,7
"162",4532,2016,8
"163",4557,2016,9
"164",4653,2016,10
"165",4604,2016,11
"166",4390,2016,12
"167",4389,2017,1
"168",4225,2017,2
"169",4640,2017,3
