"","CONTO","ANNO","MESE"
"1",5018,2003,4
"2",5072,2003,5
"3",5015,2003,6
"4",5159,2003,7
"5",5222,2003,8
"6",5198,2003,9
"7",5316,2003,10
"8",5029,2003,11
"9",5029,2003,12
"10",5035,2004,1
"11",4895,2004,2
"12",5416,2004,3
"13",5062,2004,4
"14",5145,2004,5
"15",4987,2004,6
"16",5241,2004,7
"17",5335,2004,8
"18",5279,2004,9
"19",5374,2004,10
"20",5491,2004,11
"21",5332,2004,12
"22",5266,2005,1
"23",5063,2005,2
"24",5754,2005,3
"25",5614,2005,4
"26",5670,2005,5
"27",5569,2005,6
"28",5123,2005,7
"29",4645,2005,8
"30",4623,2005,9
"31",4770,2005,10
"32",4736,2005,11
"33",4688,2005,12
"34",4577,2006,1
"35",4332,2006,2
"36",4808,2006,3
"37",4551,2006,4
"38",4682,2006,5
"39",4572,2006,6
"40",4720,2006,7
"41",4716,2006,8
"42",4622,2006,9
"43",4832,2006,10
"44",4838,2006,11
"45",4875,2006,12
"46",4827,2007,1
"47",4643,2007,2
"48",5176,2007,3
"49",5043,2007,4
"50",5228,2007,5
"51",4942,2007,6
"52",5233,2007,7
"53",5211,2007,8
"54",5036,2007,9
"55",5375,2007,10
"56",5203,2007,11
"57",4617,2007,12
"58",4821,2008,1
"59",4719,2008,2
"60",5009,2008,3
"61",4892,2008,4
"62",4610,2008,5
"63",4426,2008,6
"64",4672,2008,7
"65",4656,2008,8
"66",4539,2008,9
"67",4791,2008,10
"68",4472,2008,11
"69",4317,2008,12
"70",4291,2009,1
"71",4025,2009,2
"72",4570,2009,3
"73",4170,2009,4
"74",4313,2009,5
"75",4265,2009,6
"76",4478,2009,7
"77",4320,2009,8
"78",4275,2009,9
"79",4466,2009,10
"80",4337,2009,11
"81",4114,2009,12
"82",3959,2010,1
"83",3802,2010,2
"84",4349,2010,3
"85",4241,2010,4
"86",4348,2010,5
"87",4535,2010,6
"88",4474,2010,7
"89",4455,2010,8
"90",4375,2010,9
"91",4473,2010,10
"92",4324,2010,11
"93",4282,2010,12
"94",4231,2011,1
"95",3881,2011,2
"96",4455,2011,3
"97",4297,2011,4
"98",4470,2011,5
"99",4274,2011,6
"100",4454,2011,7
"101",4471,2011,8
"102",4477,2011,9
"103",4563,2011,10
"104",4452,2011,11
"105",4381,2011,12
"106",4289,2012,1
"107",4163,2012,2
"108",4315,2012,3
"109",4072,2012,4
"110",4101,2012,5
"111",3909,2012,6
"112",4106,2012,7
"113",4104,2012,8
"114",3930,2012,9
"115",4215,2012,10
"116",3765,2012,11
"117",3690,2012,12
"118",3737,2013,1
"119",3490,2013,2
"120",3919,2013,3
"121",3872,2013,4
"122",3939,2013,5
"123",3748,2013,6
"124",3976,2013,7
"125",3956,2013,8
"126",3863,2013,9
"127",4071,2013,10
"128",4066,2013,11
"129",3921,2013,12
"130",4059,2014,1
"131",3916,2014,2
"132",4251,2014,3
"133",4126,2014,4
"134",4157,2014,5
"135",4159,2014,6
"136",4391,2014,7
"137",4325,2014,8
"138",4199,2014,9
"139",4623,2014,10
"140",4296,2014,11
"141",4137,2014,12
"142",4137,2015,1
"143",4017,2015,2
"144",4663,2015,3
"145",4348,2015,4
"146",4546,2015,5
"147",4401,2015,6
"148",4718,2015,7
"149",4524,2015,8
"150",4573,2015,9
"151",4842,2015,10
"152",4733,2015,11
"153",4502,2015,12
"154",4440,2016,1
"155",4429,2016,2
"156",4733,2016,3
"157",4459,2016,4
"158",4642,2016,5
"159",4475,2016,6
"160",4653,2016,7
"161",4592,2016,8
"162",4622,2016,9
"163",4713,2016,10
"164",4632,2016,11
"165",4420,2016,12
"166",4424,2017,1
"167",4251,2017,2
"168",4692,2017,3
