"","LON2c","LAT2c"
"1",-58.5348284,-34.8150044
"2",-88.5594418,32.5551344
"3",18.4906363,-31.6836157
"4",-77.6266046,44.0527285
"5",-84.4277001,33.6407282
"6",28.885027,-16.519449
"7",-74.1004385,41.4985635
"8",-97.6968898,30.2723064
"9",32.0406469,-27.6163051
"10",27.0841434,-26.6682779
"11",-97.9742492,26.1524777
"12",NA,NA
"13",-3.1847916,55.9504558
"14",NA,NA
"15",-79.7058802,43.7528041
"16",30.514348,-26.2430007
"17",NA,NA
"18",77.589268,12.958915
"19",27.72907,-26.0798
"20",-117.4522411,34.1529074
"21",NA,NA
"22",18.4949999,-33.90639
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",28.9853818,-24.229895
"32",27.50361,-26.88889
"33",0.2471782,51.8760749
"34",27.9590034,-26.5709492
"35",NA,NA
"36",NA,NA
"37",-83.7112789,10.9211345
"38",72.8907542,19.1066008
"39",27.31431,-27.66554
"40",25.03278,-31.51361
"41",28.4262349,-24.6853647
"42",20.250431,-34.554969
"43",28.296883,-26.169218
"44",26.1633299,-29.03306
"45",22.4788857,-27.1987054
"46",-104.7026039,38.801712
"47",-75.6715321,36.0176133
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",-3.024947,56.452445
"52",-82.5370781,27.9834776
"53",-105.6820926,53.2138994
"54",29.190626,-25.838193
"55",NA,NA
"56",-80.2413113,40.4957722
"57",31.509089,-24.736568
"58",74.0189471,17.6911961
"59",NA,NA
"60",73.7916305,19.9950538
"61",NA,NA
"62",-2.573285,51.4250171
"63",-93.6587958,41.5341333
"64",88.322653,22.53455
"65",NA,NA
"66",-1.8404302,50.7815655
"67",34.7861765,32.1046888
"68",30.2678391,59.8029126
"69",74.4730782,43.0584523
"70",29.2386163,-1.6683325
"71",31.314133,-26.52033
"72",NA,NA
"73",51.1554896,35.4089938
"74",-0.281166,51.948608
"75",100.6041987,13.9132602
"76",NA,NA
"77",15.9141793,-1.2188795
"78",4.4398832,51.9555086
"79",-80.11902,26.642559
"80",NA,NA
"81",-3.024947,56.452445
"82",7.339478,46.222706
"83",27.824622,-33.0364923
"84",NA,NA
"85",100.7501124,13.6899991
"86",-156.4329379,20.8967924
"87",NA,NA
"88",23.42818,-19.97558
"89",-50.2792827,-27.7818318
"90",25.1637186,-17.8306004
"91",-97.4392301,30.5677477
"92",NA,NA
"93",NA,NA
"94",24.7665189,-28.8014948
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",-63.5376665,8.1255551
"99",-90.5038426,19.8142631
"100",-72.6860314,41.9388735
"101",-45.2165937,-5.5013533
"102",7.3230951,10.6940852
"103",77.5964077,12.9507273
"104",-119.2176306,40.7621105
"105",46.350833,-15.666389
"106",55.4236276,-21.3207484
"107",121.334297,31.192209
"108",-5.6460263,-15.9567893
"109",12.3753018,9.2789663
"110",-1.7267499,52.4540914
"111",30.6482544,-24.3559
"112",NA,NA
"113",76.392958,10.1517834
"114",13.5216148,52.3854411
"115",-79.6248197,43.6777176
"116",56.330556,25.109722
"117",113.3079699,23.3959079
"118",30.8018768,36.9043327
"119",72.626571,23.0734262
"120",12.2203805,51.4220814
"121",NA,NA
"122",-0.565234,51.237791
