"","CONTO","ANNO","MESE"
"1",1716,2003,4
"2",1741,2003,5
"3",1689,2003,6
"4",1764,2003,7
"5",1832,2003,8
"6",1751,2003,9
"7",1815,2003,10
"8",1744,2003,11
"9",1756,2003,12
"10",1788,2004,1
"11",1652,2004,2
"12",1779,2004,3
"13",1743,2004,4
"14",1784,2004,5
"15",1723,2004,6
"16",1812,2004,7
"17",1807,2004,8
"18",1789,2004,9
"19",1862,2004,10
"20",1814,2004,11
"21",1870,2004,12
"22",1878,2005,1
"23",1665,2005,2
"24",1853,2005,3
"25",1822,2005,4
"26",1872,2005,5
"27",1813,2005,6
"28",1814,2005,7
"29",1977,2005,8
"30",1900,2005,9
"31",1943,2005,10
"32",1900,2005,11
"33",1966,2005,12
"34",1959,2006,1
"35",1739,2006,2
"36",1956,2006,3
"37",1987,2006,4
"38",2038,2006,5
"39",1972,2006,6
"40",2015,2006,7
"41",2034,2006,8
"42",1979,2006,9
"43",2037,2006,10
"44",2061,2006,11
"45",2203,2006,12
"46",2156,2007,1
"47",1938,2007,2
"48",2159,2007,3
"49",2137,2007,4
"50",2251,2007,5
"51",2213,2007,6
"52",2358,2007,7
"53",2413,2007,8
"54",2338,2007,9
"55",2488,2007,10
"56",2353,2007,11
"57",2395,2007,12
"58",2424,2008,1
"59",2280,2008,2
"60",2426,2008,3
"61",2354,2008,4
"62",2380,2008,5
"63",2309,2008,6
"64",2391,2008,7
"65",2389,2008,8
"66",2328,2008,9
"67",2427,2008,10
"68",2316,2008,11
"69",2337,2008,12
"70",2266,2009,1
"71",1973,2009,2
"72",2183,2009,3
"73",2222,2009,4
"74",2260,2009,5
"75",2301,2009,6
"76",2484,2009,7
"77",2481,2009,8
"78",2386,2009,9
"79",2492,2009,10
"80",2382,2009,11
"81",2482,2009,12
"82",2430,2010,1
"83",2201,2010,2
"84",2504,2010,3
"85",2413,2010,4
"86",2561,2010,5
"87",2654,2010,6
"88",2681,2010,7
"89",2677,2010,8
"90",2554,2010,9
"91",2666,2010,10
"92",2560,2010,11
"93",2705,2010,12
"94",2633,2011,1
"95",2329,2011,2
"96",2562,2011,3
"97",2531,2011,4
"98",2561,2011,5
"99",2496,2011,6
"100",2553,2011,7
"101",2500,2011,8
"102",2453,2011,9
"103",2533,2011,10
"104",2369,2011,11
"105",2452,2011,12
"106",2424,2012,1
"107",2252,2012,2
"108",2463,2012,3
"109",2438,2012,4
"110",2480,2012,5
"111",2438,2012,6
"112",2568,2012,7
"113",2589,2012,8
"114",2488,2012,9
"115",2617,2012,10
"116",2488,2012,11
"117",2538,2012,12
"118",2491,2013,1
"119",2267,2013,2
"120",2530,2013,3
"121",2493,2013,4
"122",2677,2013,5
"123",2602,2013,6
"124",2748,2013,7
"125",2767,2013,8
"126",2658,2013,9
"127",2763,2013,10
"128",2699,2013,11
"129",2736,2013,12
"130",2727,2014,1
"131",2445,2014,2
"132",2730,2014,3
"133",2646,2014,4
"134",2711,2014,5
"135",2638,2014,6
"136",2774,2014,7
"137",2816,2014,8
"138",2711,2014,9
"139",2819,2014,10
"140",2731,2014,11
"141",2809,2014,12
"142",2791,2015,1
"143",2511,2015,2
"144",2815,2015,3
"145",2771,2015,4
"146",2815,2015,5
"147",2731,2015,6
"148",2864,2015,7
"149",2813,2015,8
"150",2738,2015,9
"151",2816,2015,10
"152",2596,2015,11
"153",2648,2015,12
"154",2627,2016,1
"155",2516,2016,2
"156",2705,2016,3
"157",2689,2016,4
"158",2775,2016,5
"159",2659,2016,6
"160",2757,2016,7
"161",2796,2016,8
"162",2733,2016,9
"163",2817,2016,10
"164",2716,2016,11
"165",2741,2016,12
"166",2748,2017,1
"167",2487,2017,2
"168",2753,2017,3
