"","CONTO","ANNO","MESE"
"1",707,2003,4
"2",738,2003,5
"3",693,2003,6
"4",716,2003,7
"5",717,2003,8
"6",699,2003,9
"7",714,2003,10
"8",688,2003,11
"9",626,2003,12
"10",653,2004,1
"11",655,2004,2
"12",708,2004,3
"13",721,2004,4
"14",746,2004,5
"15",727,2004,6
"16",845,2004,7
"17",843,2004,8
"18",812,2004,9
"19",827,2004,10
"20",772,2004,11
"21",711,2004,12
"22",703,2005,1
"23",691,2005,2
"24",745,2005,3
"25",789,2005,4
"26",827,2005,5
"27",774,2005,6
"28",781,2005,7
"29",808,2005,8
"30",750,2005,9
"31",749,2005,10
"32",727,2005,11
"33",654,2005,12
"34",664,2006,1
"35",691,2006,2
"36",754,2006,3
"37",722,2006,4
"38",744,2006,5
"39",733,2006,6
"40",763,2006,7
"41",790,2006,8
"42",751,2006,9
"43",793,2006,10
"44",752,2006,11
"45",638,2006,12
"46",640,2007,1
"47",693,2007,2
"48",770,2007,3
"49",691,2007,4
"50",763,2007,5
"51",741,2007,6
"52",829,2007,7
"53",855,2007,8
"54",820,2007,9
"55",859,2007,10
"56",832,2007,11
"57",713,2007,12
"58",742,2008,1
"59",743,2008,2
"60",750,2008,3
"61",782,2008,4
"62",807,2008,5
"63",754,2008,6
"64",767,2008,7
"65",772,2008,8
"66",744,2008,9
"67",764,2008,10
"68",742,2008,11
"69",670,2008,12
"70",714,2009,1
"71",653,2009,2
"72",770,2009,3
"73",784,2009,4
"74",807,2009,5
"75",814,2009,6
"76",865,2009,7
"77",861,2009,8
"78",829,2009,9
"79",884,2009,10
"80",867,2009,11
"81",762,2009,12
"82",731,2010,1
"83",755,2010,2
"84",811,2010,3
"85",783,2010,4
"86",816,2010,5
"87",741,2010,6
"88",836,2010,7
"89",894,2010,8
"90",880,2010,9
"91",910,2010,10
"92",874,2010,11
"93",758,2010,12
"94",793,2011,1
"95",764,2011,2
"96",875,2011,3
"97",859,2011,4
"98",912,2011,5
"99",916,2011,6
"100",916,2011,7
"101",899,2011,8
"102",878,2011,9
"103",922,2011,10
"104",867,2011,11
"105",753,2011,12
"106",767,2012,1
"107",792,2012,2
"108",827,2012,3
"109",746,2012,4
"110",805,2012,5
"111",784,2012,6
"112",830,2012,7
"113",840,2012,8
"114",820,2012,9
"115",871,2012,10
"116",825,2012,11
"117",722,2012,12
"118",743,2013,1
"119",706,2013,2
"120",779,2013,3
"121",785,2013,4
"122",827,2013,5
"123",790,2013,6
"124",820,2013,7
"125",834,2013,8
"126",817,2013,9
"127",846,2013,10
"128",819,2013,11
"129",727,2013,12
"130",783,2014,1
"131",799,2014,2
"132",858,2014,3
"133",876,2014,4
"134",903,2014,5
"135",911,2014,6
"136",967,2014,7
"137",949,2014,8
"138",914,2014,9
"139",899,2014,10
"140",863,2014,11
"141",748,2014,12
"142",784,2015,1
"143",829,2015,2
"144",935,2015,3
"145",889,2015,4
"146",955,2015,5
"147",890,2015,6
"148",914,2015,7
"149",914,2015,8
"150",883,2015,9
"151",926,2015,10
"152",933,2015,11
"153",783,2015,12
"154",832,2016,1
"155",865,2016,2
"156",888,2016,3
"157",870,2016,4
"158",896,2016,5
"159",860,2016,6
"160",921,2016,7
"161",947,2016,8
"162",916,2016,9
"163",937,2016,10
"164",908,2016,11
"165",772,2016,12
"166",810,2017,1
"167",806,2017,2
"168",881,2017,3
