"","CONTO","ANNO","MESE"
"1",706,2003,4
"2",740,2003,5
"3",692,2003,6
"4",715,2003,7
"5",716,2003,8
"6",697,2003,9
"7",723,2003,10
"8",680,2003,11
"9",627,2003,12
"10",655,2004,1
"11",659,2004,2
"12",709,2004,3
"13",732,2004,4
"14",746,2004,5
"15",733,2004,6
"16",848,2004,7
"17",844,2004,8
"18",814,2004,9
"19",825,2004,10
"20",770,2004,11
"21",712,2004,12
"22",695,2005,1
"23",689,2005,2
"24",750,2005,3
"25",796,2005,4
"26",832,2005,5
"27",775,2005,6
"28",783,2005,7
"29",797,2005,8
"30",757,2005,9
"31",751,2005,10
"32",726,2005,11
"33",655,2005,12
"34",666,2006,1
"35",689,2006,2
"36",760,2006,3
"37",720,2006,4
"38",744,2006,5
"39",736,2006,6
"40",760,2006,7
"41",800,2006,8
"42",748,2006,9
"43",795,2006,10
"44",760,2006,11
"45",645,2006,12
"46",645,2007,1
"47",697,2007,2
"48",770,2007,3
"49",693,2007,4
"50",761,2007,5
"51",745,2007,6
"52",831,2007,7
"53",857,2007,8
"54",813,2007,9
"55",860,2007,10
"56",840,2007,11
"57",713,2007,12
"58",751,2008,1
"59",749,2008,2
"60",759,2008,3
"61",793,2008,4
"62",815,2008,5
"63",762,2008,6
"64",769,2008,7
"65",771,2008,8
"66",755,2008,9
"67",772,2008,10
"68",743,2008,11
"69",671,2008,12
"70",715,2009,1
"71",661,2009,2
"72",773,2009,3
"73",778,2009,4
"74",813,2009,5
"75",813,2009,6
"76",869,2009,7
"77",862,2009,8
"78",837,2009,9
"79",889,2009,10
"80",864,2009,11
"81",764,2009,12
"82",733,2010,1
"83",760,2010,2
"84",806,2010,3
"85",788,2010,4
"86",813,2010,5
"87",738,2010,6
"88",839,2010,7
"89",897,2010,8
"90",875,2010,9
"91",910,2010,10
"92",877,2010,11
"93",760,2010,12
"94",793,2011,1
"95",770,2011,2
"96",883,2011,3
"97",858,2011,4
"98",920,2011,5
"99",911,2011,6
"100",924,2011,7
"101",900,2011,8
"102",872,2011,9
"103",922,2011,10
"104",863,2011,11
"105",753,2011,12
"106",765,2012,1
"107",793,2012,2
"108",833,2012,3
"109",744,2012,4
"110",801,2012,5
"111",789,2012,6
"112",831,2012,7
"113",834,2012,8
"114",817,2012,9
"115",865,2012,10
"116",820,2012,11
"117",716,2012,12
"118",740,2013,1
"119",702,2013,2
"120",779,2013,3
"121",788,2013,4
"122",826,2013,5
"123",789,2013,6
"124",814,2013,7
"125",835,2013,8
"126",815,2013,9
"127",848,2013,10
"128",819,2013,11
"129",724,2013,12
"130",785,2014,1
"131",795,2014,2
"132",858,2014,3
"133",874,2014,4
"134",902,2014,5
"135",910,2014,6
"136",968,2014,7
"137",947,2014,8
"138",910,2014,9
"139",902,2014,10
"140",860,2014,11
"141",746,2014,12
"142",792,2015,1
"143",825,2015,2
"144",931,2015,3
"145",892,2015,4
"146",961,2015,5
"147",890,2015,6
"148",915,2015,7
"149",917,2015,8
"150",886,2015,9
"151",926,2015,10
"152",932,2015,11
"153",785,2015,12
"154",834,2016,1
"155",870,2016,2
"156",888,2016,3
"157",866,2016,4
"158",897,2016,5
"159",861,2016,6
"160",918,2016,7
"161",937,2016,8
"162",915,2016,9
"163",938,2016,10
"164",919,2016,11
"165",779,2016,12
"166",818,2017,1
"167",803,2017,2
"168",888,2017,3
